title,year,rating,description,genre,runtime_in_min
Inglourious Basterds,2009,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Adventure, Drama, War",153.0
Avengers: Endgame,2019,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Action, Adventure, Drama",181.0
Blade Runner 2049,2017,8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","Action, Drama, Mystery",164.0
The Goonies,1985,7.7,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,"Adventure, Comedy, Family",114.0
Black Swan,2010,8.0,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","Drama, Thriller",108.0
Knives Out,2019,7.9,"A detective investigates the death of the patriarch of an eccentric, combative family.","Comedy, Crime, Drama",130.0
The Departed,2006,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Crime, Drama, Thriller",151.0
American Psycho,2000,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","Crime, Drama, Horror",102.0
Gladiator,2000,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action, Adventure, Drama",155.0
Whiplash,2014,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Drama, Music",106.0
Jurassic Park,1993,8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Action, Adventure, Sci-Fi",127.0
The Grand Budapest Hotel,2014,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Adventure, Comedy, Crime",99.0
Schindler's List,1993,9.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography, Drama, History",195.0
12 Angry Men,1957,9.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Crime, Drama",96.0
Requiem for a Dream,2000,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama,102.0
Prisoners,2013,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Crime, Drama, Mystery",153.0
Heat,1995,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"Action, Crime, Drama",170.0
Pride & Prejudice,2005,7.8,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?","Drama, Romance",129.0
Rocky,1976,8.1,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Drama, Sport",120.0
Detachment,2011,7.7,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,Drama,98.0
Taxi Driver,1976,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime, Drama",114.0
Se7en,1995,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime, Drama, Mystery",127.0
The Prestige,2006,8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama, Mystery, Sci-Fi",130.0
The Silence of the Lambs,1991,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime, Drama, Thriller",118.0
Mad Max: Fury Road,2015,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.","Action, Adventure, Sci-Fi",120.0
Django Unchained,2012,8.4,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Drama, Western",165.0
The Fugitive,1993,7.8,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.","Action, Crime, Drama",130.0
One Flew Over the Cuckoo's Nest,1975,8.7,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Drama,133.0
Get Out,2017,7.7,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Horror, Mystery, Thriller",104.0
Gone Girl,2014,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Drama, Mystery, Thriller",149.0
American Beauty,1999,8.4,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama,122.0
The Lord of the Rings: The Return of the King,2003,9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action, Adventure, Drama",201.0
